<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: dwarfplanet_asteroid_comet_analysis.csv>
index,full_name,pdes,q,ad,a,e,i,om,w,tp,moid,per,per_y,t_jup,pr_class,dt_class,neo,pha
0,     1 Ceres (A801 AA),1,2.548883313,2.985625409,2.767254361,0.078912532,10.5868796,80.25497772,73.42179714,2459919.898,1.58322,1681.403889,4.603432962,3.31,Dwarfplanet,DP,N,N
1,134340 Pluto (1930 BM),134340,29.61871297,49.5585458,39.58862939,0.251837878,17.14771141,110.2923841,113.7090015,2447812.094,28.649,90981.71648,249.0943641,5.233,Dwarfplanet,DP,N,N
2,136108 Haumea (2003 EL61),136108,34.31658445,51.46695722,42.89177084,0.199926145,28.20947695,121.9750173,240.702583,2500139.755,33.4032,102602.8424,280.9112729,5.079,Dwarfplanet,DP,N,N
3,136199 Eris (2003 UB313),136199,38.6883254,97.61850976,68.15341758,0.432334771,43.74506417,36.07713489,150.8682568,2546169.097,37.7444,205508.5451,562.6517321,4.791,Dwarfplanet,DP,N,N
4,136472 Makemake (2005 FY9),136472,37.77866679,52.79251004,45.28558842,0.165768446,29.02545191,79.31400364,296.1548968,2408307.427,36.8817,111311.0936,304.7531652,5.203,Dwarfplanet,DP,N,N
5, 66959 (1999 XO35),66959,1.1024203,3.974847972,2.538634136,0.565742742,20.61948297,81.89498993,293.4980112,2460304.606,0.274598,1477.401719,4.04490546,3.128,Asteroid,AMO,Y,N
6,523592 (2001 SK276),523592,1.293439763,5.079184884,3.186312323,0.594063723,20.7583945,297.6498338,119.4671666,2460558.982,0.427421,2077.45173,5.687752855,2.81,Asteroid,AMO,Y,N
7,612529 (2002 XP40),612529,1.158341792,2.131202916,1.644772354,0.295743396,3.774456598,73.60971421,70.97532236,2460391.587,0.182088,770.4724662,2.109438648,4.235,Asteroid,AMO,Y,N
8,509102 (2005 VB7),509102,1.175581393,2.428552116,1.802066754,0.347648255,32.57156002,241.4287586,212.4004524,2459932.011,0.229061,883.5980297,2.419159561,3.817,Asteroid,AMO,Y,N
9,452389 (2002 NW16),452389,1.075128713,1.141973491,1.108551102,0.030149615,14.1631997,301.5270428,317.4090248,2460092.957,0.0671071,426.3163649,1.167190595,5.589,Asteroid,AMO,Y,N
10,142348 (2002 RX211),142348,1.119929798,3.00995401,2.064941904,0.457645856,6.069804014,96.63381879,324.3422851,2460208.536,0.145496,1083.827542,2.967358089,3.634,Asteroid,AMO,Y,N
11,523611 (2005 UY5),523611,1.297578464,3.156201691,2.226890078,0.417313644,7.133214253,56.51179779,261.9802731,2460777.48,0.316648,1213.798502,3.323199184,3.516,Asteroid,AMO,Y,N
12,519307 (2011 EF15),519307,1.280746872,3.33276462,2.306755746,0.444784358,0.255024892,358.1251566,233.8144987,2459569.037,0.269187,1279.678412,3.503568547,3.448,Asteroid,AMO,Y,N
13,529752 (2010 MR),529752,1.162161081,3.74205089,2.452105986,0.526055934,3.326646847,289.1295999,70.77959126,2459746.574,0.168542,1402.514252,3.839874748,3.288,Asteroid,AMO,Y,N
14,613422 (2006 KQ21),613422,1.233427669,3.378667347,2.306047508,0.465133452,6.325726779,179.3855024,164.5700439,2460465.223,0.227839,1279.089112,3.501955133,3.428,Asteroid,AMO,Y,N
15,242216 (2003 RN10),242216,1.024592468,3.437777859,2.231185164,0.54078555,39.62306016,267.1953461,4.615880371,2460164.378,0.00910369,1217.311843,3.332818186,3.181,Asteroid,AMO,Y,Y
16,424532 (2008 EZ97),424532,1.269391016,3.553814528,2.411602772,0.473631797,8.478518529,68.74773913,197.2435992,2460083.358,0.256985,1367.908627,3.745129711,3.344,Asteroid,AMO,Y,N
17,413123 (2001 XS1),413123,1.184464086,4.156238862,2.670351474,0.556438882,10.93879664,266.9098285,164.7555753,2460205.976,0.203521,1593.86329,4.363759863,3.117,Asteroid,AMO,Y,N
18,161998 (1988 PA),161998,1.277485986,3.018714414,2.1481002,0.405294973,8.224093375,162.1107209,137.6698866,2460004.168,0.281135,1149.95337,3.148400739,3.585,Asteroid,AMO,Y,N
19,503274 (2015 QE9),503274,1.19683783,1.988508157,1.592672993,0.248535114,11.37096544,135.9280859,321.9644487,2460395.774,0.235381,734.155997,2.010009574,4.318,Asteroid,AMO,Y,N
20,152942 (2000 FN10),152942,1.052521051,2.823758291,1.938139671,0.45694262,27.07652884,8.166324982,235.4209139,2460557.158,0.179834,985.5440347,2.698272511,3.651,Asteroid,AMO,Y,N
21,513572 (2010 VX39),513572,1.037294329,2.549672534,1.793483432,0.421631496,11.31090256,77.1134438,15.3579361,2459916.08,0.0595698,877.2926287,2.401896314,3.945,Asteroid,AMO,Y,N
22,461501 (2003 FT3),461501,1.158695418,4.200207167,2.679451292,0.567562426,4.321575065,181.5381104,84.69726813,2460813.341,0.163806,1602.017393,4.386084582,3.12,Asteroid,AMO,Y,N
23,520585 Saci (2014 OA2),520585,1.175208975,2.029809827,1.602509401,0.266644567,6.17940388,118.7470323,184.5736217,2460569.218,0.159399,740.9677498,2.028659137,4.311,Asteroid,AMO,Y,N
24,612556 (2003 OA3),612556,1.176475581,2.434206312,1.805340947,0.348336067,17.67492049,189.6448336,148.3240392,2459993.972,0.202554,886.0072497,2.425755646,3.934,Asteroid,AMO,Y,N
25,366470 (2002 FD),366470,1.02187919,1.825548149,1.42371367,0.282243886,22.81302952,182.1705853,267.1740302,2460318.671,0.232784,620.4866032,1.698799735,4.58,Asteroid,AMO,Y,N
26,513776 (2013 AA2),513776,1.297301603,4.426905156,2.862103379,0.546731396,6.858502228,155.6256962,259.6360039,2459750.235,0.335107,1768.58689,4.84212701,3.051,Asteroid,AMO,Y,N
27,497176 (2004 TQ13),497176,1.292221194,4.060321093,2.676271143,0.517156101,10.47438531,233.1583248,163.3280491,2459665.588,0.304023,1599.166171,4.378278359,3.151,Asteroid,AMO,Y,N
28,504994 (2011 JU2),504994,1.086037233,2.941719938,2.013878586,0.46072358,56.10787536,47.21175592,301.3141589,2460064.933,0.266351,1043.874654,2.857973043,3.2,Asteroid,AMO,Y,N
29,461365 (2000 JF1),461365,1.198124953,3.174076562,2.186100757,0.451935164,11.39737315,54.89241701,220.3586927,2459991.711,0.216361,1180.602474,3.232313413,3.514,Asteroid,AMO,Y,N
30,276392 (2002 XH4),276392,1.172908145,2.043511799,1.608209972,0.270674747,14.52140354,93.44934109,213.7303406,2459866.749,0.183087,744.9250055,2.039493513,4.272,Asteroid,AMO,Y,N
31,276786 (2004 KD1),276786,1.151368061,2.287250569,1.719309315,0.330331051,10.12566028,271.4669926,9.92760034,2460566.005,0.136362,823.4352433,2.254442829,4.095,Asteroid,AMO,Y,N
32,163001 (2001 SE170),163001,1.160063186,3.086639116,2.123351151,0.453663995,19.98000113,216.5155464,124.9801914,2460039.861,0.263684,1130.137172,3.094146945,3.521,Asteroid,AMO,Y,N
33, 15745 Yuliya (1991 PM5),15745,1.281335898,2.15866526,1.720000579,0.255037519,14.42614658,132.5976242,140.6583103,2459949.858,0.296119,823.9318977,2.255802595,4.102,Asteroid,AMO,Y,N
34,439889 (2000 PG5),439889,1.131424846,3.04229192,2.086858383,0.457833432,6.116198313,309.7482033,358.7326056,2460565.844,0.116237,1101.128223,3.014724773,3.613,Asteroid,AMO,Y,N
35,326946 (2004 EN20),326946,1.156593993,2.574797052,1.865695522,0.380073555,40.12252313,185.5493384,246.3770494,2460378.218,0.343398,930.8068714,2.548410325,3.636,Asteroid,AMO,Y,N
36,196256 (2003 EH1),196256,1.191036627,5.05497505,3.123005838,0.618624912,70.86183244,282.9913766,171.3028222,2460759.816,0.211378,2015.847253,5.519088987,2.065,Asteroid,AMO,Y,N
37,366833 (2005 MC),366833,1.067505686,4.16821852,2.617862103,0.592222339,27.27399787,287.3113484,124.9880171,2459774.53,0.224456,1547.100677,4.235730806,3.004,Asteroid,AMO,Y,N
38,533011 (2014 AY28),533011,1.022719656,1.828428554,1.425574105,0.282591026,5.709098416,169.5845645,22.68501796,2460477.002,0.0354351,621.7032303,1.702130678,4.649,Asteroid,AMO,Y,Y
39,523819 (2010 VB72),523819,1.135703014,1.299564215,1.217633614,0.067286744,16.06195771,196.8243271,337.8434479,2460089.749,0.138656,490.7647601,1.343640685,5.201,Asteroid,AMO,Y,N
40,485051 (2010 CM44),485051,1.198481737,3.434288215,2.316384976,0.482606842,6.282171427,10.73965073,197.1962721,2460470.234,0.196336,1287.699526,3.525529162,3.408,Asteroid,AMO,Y,N
41, 54401 (2000 LM),54401,1.261692831,2.159487342,1.710590086,0.262422458,18.95327432,240.8413024,67.1036567,2459926.343,0.354228,817.1792926,2.23731497,4.088,Asteroid,AMO,Y,N
42,101873 (1999 NC5),101873,1.231135385,2.827299561,2.029217473,0.393295494,45.78531749,128.7949807,295.2148432,2460073.573,0.436744,1055.823482,2.890687151,3.365,Asteroid,AMO,Y,N
43,141078 (2001 XQ30),141078,1.022611124,2.702451971,1.862531547,0.450956347,11.47143216,234.6003916,270.8758387,2459793.711,0.1886,928.440086,2.54193042,3.84,Asteroid,AMO,Y,N
